Author,Title,Type of Ban,State,District,Origin of Challenge,Frequency,Date
"Gottfred, B. T.",Forever for a Year,Banned in Libraries and Classrooms,Texas,Cypress-fairbanks independent school district,Administrator,3,2021-12-01
"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned in Classrooms,Oklahoma,Bristow public schools,Administrator,3,2021-10-01
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Andrews, Jesse",The Haters,Banned Pending Investigation,Michigan,Rochester community schools district,Administrator,3,2022-04-01
"Andrews, Jesse",The Haters,Banned in Libraries,Florida,Indian river county school district,Administrator,3,2021-11-01
"Andrews, Jesse",The Haters,Banned Pending Investigation,Florida,Brevard public schools,Administrator,3,2022-03-01
"Myracle, Lauren",Shine,Banned in Libraries,Wisconsin,School district of waukesha,Administrator,3,2021-12-01
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Hartinger, Brent",Geography Club (Russel Middlebrook Series),Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Hartinger, Brent",Geography Club (Russel Middlebrook Series),Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Prager, Sarah","Queer, There and Everywhere: 23 People Who Changed the World",Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,Missouri,Nixa public schools,Formal Challenge,3,2022-02-01
"Hutchinson, Shaun David",The Past and Other Things That Should Stay Buried,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Colbert, Brandy",Little & Lion,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
