State,ID,District,Students_tested,Reading_proficiency_rate,Average_proficiency,Diff_from_mean_abs
Alabama,103450,Walker county,3777,38.0,54.32355555555556,16.323555555555558
Alabama,103480,Washington county,1642,32.0,54.32355555555556,22.323555555555558
Alabama,103510,Wilcox county,946,18.0,54.32355555555556,36.32355555555556
Alabama,103540,Winfield city,667,51.0,54.32355555555556,3.323555555555558
Alabama,103580,Winston county,1313,42.0,54.32355555555556,12.323555555555558
Alaska,200001,Lower kuskokwim school district,2557,5.0,54.32355555555556,49.32355555555556
Alaska,200003,Lower yukon school district,1180,,54.32355555555556,
Alaska,200004,Yupiit school district,268,,54.32355555555556,
Alaska,200005,Kashunamiut school district,169,,54.32355555555556,
Alaska,200006,Mount edgecumbe high school agency,192,,54.32355555555556,
Alaska,200007,Aleutians east borough school district,132,,54.32355555555556,
Alaska,200010,Aleutian region school district,16,,54.32355555555556,
Alaska,200020,Bering strait school district,988,6.0,54.32355555555556,48.32355555555556
Alaska,200030,Bristol bay borough school district,86,,54.32355555555556,
Alaska,200050,Alaska gateway school district,205,18.0,54.32355555555556,36.32355555555556
Alaska,200060,Cordova city school district,190,,54.32355555555556,
Alaska,200070,Copper river school district,266,38.0,54.32355555555556,16.323555555555558
Alaska,200090,Craig city school district,327,42.0,54.32355555555556,12.323555555555558
Alaska,200100,Delta-greely school district,493,41.0,54.32355555555556,13.323555555555558
Alaska,200120,Dillingham city school district,270,26.0,54.32355555555556,28.323555555555558
Alaska,200130,Galena city school district,1737,40.0,54.32355555555556,14.323555555555558
Alaska,200150,Ketchikan gateway borough school district,1332,40.0,54.32355555555556,14.323555555555558
Alaska,200180,Anchorage school district,27500,39.0,54.32355555555556,15.323555555555558
Alaska,200210,Juneau borough school district,2805,40.0,54.32355555555556,14.323555555555558
Alaska,200240,Sitka school district,716,42.0,54.32355555555556,12.323555555555558
Alaska,200270,Haines borough school district,141,,54.32355555555556,
Alaska,200300,Hoonah city school district,69,,54.32355555555556,
Alaska,200330,Hydaburg city school district,39,,54.32355555555556,
Alaska,200360,Kake city school district,63,,54.32355555555556,
Alaska,200390,Kenai peninsula borough school district,5105,43.0,54.32355555555556,11.323555555555558
Alaska,200450,Klawock city school district,78,,54.32355555555556,
Alaska,200480,Kodiak island borough school district,1365,38.0,54.32355555555556,16.323555555555558
Alaska,200485,Lake and peninsula borough school district,174,,54.32355555555556,
Alaska,200510,Matanuska-susitna borough school district,10368,36.0,54.32355555555556,18.323555555555558
Alaska,200520,Iditarod area school district,153,,54.32355555555556,
Alaska,200525,Annette island school district,193,,54.32355555555556,
Alaska,200540,Nenana city school district,283,32.0,54.32355555555556,22.323555555555558
Alaska,200570,Nome public schools,431,25.0,54.32355555555556,29.323555555555558
Alaska,200600,Fairbanks north star borough school district,7926,39.0,54.32355555555556,15.323555555555558
Alaska,200610,North slope borough school district,1036,10.0,54.32355555555556,44.32355555555556
Alaska,200625,Northwest arctic borough school district,1151,8.0,54.32355555555556,46.32355555555556
Alaska,200630,Pelican city school district,7,,54.32355555555556,
Alaska,200660,Petersburg borough school district,255,50.0,54.32355555555556,4.323555555555558
Alaska,200670,Pribilof school district,42,,54.32355555555556,
Alaska,200680,Saint mary's school district,119,,54.32355555555556,
Alaska,200690,Skagway school district,43,,54.32355555555556,
Alaska,200700,Southeast island school district,105,,54.32355555555556,
Alaska,200710,Southwest region school district,364,4.0,54.32355555555556,50.32355555555556
Alaska,200715,Tanana city school district,24,,54.32355555555556,
